CITY,REGION,CITYCODE,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,SEVERITY_WEIGHTED,CITY_RISK_SCORE,REGION_RISK_SCORE
נגה,דרום,55,16,1,2,23,30,0.12,63.41
אפיקים,צפון,176,23,0,3,26,32,0.12,100.0
תלמי בילו,דרום,2050,20,1,1,27,32,0.12,63.41
אלישיב,מרכז,204,16,1,4,21,32,0.12,99.75
מוקיבלה,צפון,635,18,0,0,30,30,0.12,100.0
אילון,צפון,294,17,2,0,26,32,0.12,100.0
ואדי חמאם,צפון,993,23,0,1,30,32,0.12,100.0
רעים,דרום,713,13,1,1,27,32,0.12,63.41
חולדה,מרכז,160,20,0,4,23,31,0.12,99.75
יונתן,צפון,4007,13,0,3,23,29,0.11,100.0
אביאל,חיפה,679,15,0,1,26,28,0.11,58.44
נאות חובב,דרום,1770,20,1,2,21,28,0.11,63.41
גאולים,מרכז,379,18,0,2,24,28,0.11,99.75
בארות יצחק,מרכז,450,22,0,0,28,28,0.11,99.75
חפצי בה,צפון,90,16,0,2,25,29,0.11,100.0
עין יעקב,צפון,813,19,1,0,26,29,0.11,100.0
לפיד,מרכז,1310,26,0,0,29,29,0.11,99.75
ינוב,מרכז,753,20,0,3,22,28,0.11,99.75
יפעת,צפון,134,16,0,0,29,29,0.11,100.0
עוצם,דרום,32,16,0,0,28,28,0.11,63.41
בית רימון,צפון,1162,17,0,1,27,29,0.11,100.0
קלחים,דרום,414,19,1,3,20,29,0.11,63.41
אליכין,מרכז,41,24,0,0,27,27,0.1,99.75
מגדים,חיפה,689,17,0,1,24,26,0.1,58.44
פקיעין חדשה,צפון,281,13,0,0,27,27,0.1,100.0
אבו קורינאת,דרום,1342,13,1,1,20,25,0.1,63.41
בית יהושע,מרכז,288,19,0,1,24,26,0.1,99.75
בית עוזיאל,מרכז,301,13,0,3,19,25,0.1,99.75
רחוב,צפון,854,13,0,2,22,26,0.1,100.0
משגב עם,צפון,378,12,3,2,14,27,0.1,100.0
מצובה,צפון,325,12,1,0,23,26,0.1,100.0
צופר,דרום,1150,10,0,4,18,26,0.1,63.41
גזר,מרכז,370,15,0,1,24,26,0.1,99.75
קבוצת כנרת,צפון,57,19,0,0,25,25,0.1,100.0
ריחאניה,צפון,540,14,0,0,26,26,0.1,100.0
שטח כללי,צפון,5552,14,0,2,21,25,0.1,100.0
כפר אחים,דרום,690,16,0,0,25,25,0.1,63.41
הבונים,חיפה,675,19,1,1,22,27,0.1,58.44
כפר כמא,צפון,508,21,1,1,21,26,0.1,100.0
נגבה,דרום,315,21,0,0,25,25,0.1,63.41
נהורה,דרום,309,17,1,0,22,25,0.1,63.41
לבון,צפון,1207,14,0,0,25,25,0.1,100.0
שמרת,צפון,432,16,0,1,23,25,0.1,100.0
ניצן,דרום,351,20,0,1,24,26,0.1,63.41
עוזיר,צפון,528,18,0,3,18,24,0.09,100.0
בית חלקיה,מרכז,2033,14,0,0,24,24,0.09,99.75
שבלים,דרום,865,16,0,0,24,24,0.09,63.41
חיבת ציון,מרכז,219,18,0,1,21,23,0.09,99.75
כרם בן זמרה,צפון,664,17,0,0,24,24,0.09,100.0
ללא שיפוט - אזור מאגר צלמון,צפון,9923,14,0,0,23,23,0.09,100.0
כפר גדעון,צפון,106,15,1,0,20,23,0.09,100.0
מעלה גלבוע,צפון,1127,17,0,2,19,23,0.09,100.0
כורזים,צפון,1252,12,0,1,21,23,0.09,100.0
אודים,מרכז,446,15,0,0,23,23,0.09,99.75
מרחביה מושב,צפון,97,16,0,1,22,24,0.09,100.0
תל יצחק,מרכז,287,17,0,1,21,23,0.09,99.75
משמר איילון,מרכז,670,17,0,1,21,23,0.09,99.75
שדה יצחק,חיפה,2008,11,0,1,21,23,0.09,58.44
באר גנים,דרום,1376,13,2,1,16,24,0.09,63.41
חניתה,צפון,280,14,1,0,20,23,0.09,100.0
בית ניר,דרום,16,13,0,2,20,24,0.09,63.41
קרית יערים,ירושלים,1137,19,0,2,19,23,0.09,35.33
להבות הבשן,צפון,380,10,0,0,24,24,0.09,100.0
ללא שיפוט - אזור בקעת בית נטופה,צפון,9924,14,0,2,19,23,0.09,100.0
בצרה,מרכז,389,18,0,1,21,23,0.09,99.75
חצרים,דרום,397,18,0,1,22,24,0.09,63.41
גבעות בר,דרום,1344,9,0,2,16,20,0.08,63.41
שורש,ירושלים,456,11,0,0,22,22,0.08,35.33
יסוד המעלה,צפון,29,15,0,0,22,22,0.08,100.0
קטורה,דרום,1052,13,0,0,22,22,0.08,63.41
בצת,צפון,589,16,0,1,19,21,0.08,100.0
מכחול,דרום,1343,8,2,3,9,21,0.08,63.41
צור-משה,מרכז,276,17,1,0,18,21,0.08,99.75
עזריה,מרכז,711,18,0,0,20,20,0.08,99.75
ביר הדאג',דרום,1348,8,4,0,9,21,0.08,63.41
תל קציר,צפון,719,7,0,3,14,20,0.08,100.0
ראס אל עין,צפון,1334,11,0,0,22,22,0.08,100.0
גבעת כח,מרכז,802,14,0,2,18,22,0.08,99.75
הררית,צפון,1203,9,0,0,22,22,0.08,100.0
נס הרים,ירושלים,825,17,0,1,19,21,0.08,35.33
גורן,צפון,755,15,0,1,18,20,0.08,100.0
עמיקם,חיפה,773,12,0,1,19,21,0.08,58.44
דורות,דרום,336,11,1,2,14,21,0.08,63.41
שומריה,דרום,1265,7,0,1,18,20,0.08,63.41
מיצר,צפון,4019,11,0,2,18,22,0.08,100.0
רמת רחל,ירושלים,127,14,0,1,18,20,0.08,35.33
מורן,צפון,1163,10,0,0,22,22,0.08,100.0
גנות,מרכז,836,17,0,0,20,20,0.08,99.75
מגן שאול,צפון,1155,10,0,2,17,21,0.08,100.0
גונן,צפון,852,16,0,0,20,20,0.08,100.0
שלווה,דרום,873,19,0,0,21,21,0.08,63.41
ללא שיפוט - אזור צומת מצר,חיפה,9950,4,1,6,6,21,0.08,58.44
היוגב,צפון,684,9,0,0,18,18,0.07,100.0
ללא שיפוט - אזור עמק איילון,מרכז,9967,11,1,1,13,18,0.07,99.75
דבורה,צפון,146,9,0,3,11,17,0.07,100.0
בית אלפא,צפון,95,7,1,0,15,18,0.07,100.0
עין אל אסד,צפון,546,9,0,0,17,17,0.07,100.0
שדמה,מרכז,555,9,0,4,9,17,0.07,99.75
אבן מנחם,צפון,1081,12,1,1,14,19,0.07,100.0
אבני איתן,צפון,4011,7,1,0,14,17,0.07,100.0
דבירה,דרום,849,9,0,1,16,18,0.07,63.41
דישון,צפון,2063,10,0,1,17,19,0.07,100.0
בית ינאי,מרכז,200,18,0,0,19,19,0.07,99.75
אליפז,דרום,1248,6,0,0,17,17,0.07,63.41
נחל עוז,דרום,844,14,0,0,17,17,0.07,63.41
אורה,ירושלים,780,18,0,0,19,19,0.07,35.33
פדיה,מרכז,838,14,0,2,14,18,0.07,99.75
רג'ר,צפון,4501,12,0,1,15,17,0.07,100.0
כרמי יוסף,מרכז,1264,12,0,2,13,17,0.07,99.75
נטועה,צפון,1147,10,0,1,17,19,0.07,100.0
חמד,מרכז,801,16,0,0,17,17,0.07,99.75
שדה אליהו,צפון,304,11,0,4,10,18,0.07,100.0
רמת השופט,צפון,335,11,0,0,19,19,0.07,100.0
שדה נחמיה,צפון,329,13,0,0,17,17,0.07,100.0
עמיעוז,דרום,318,6,1,2,11,18,0.07,63.41
יושיביה,דרום,803,10,0,1,17,19,0.07,63.41
עין יהב,דרום,806,14,0,1,16,18,0.07,63.41
הזורעים,צפון,307,8,0,2,14,18,0.07,100.0
אמירים,צפון,1064,11,0,2,13,17,0.07,100.0
דגניה א',צפון,62,15,0,1,17,19,0.07,100.0
שדה תרומות,צפון,2057,6,0,0,18,18,0.07,100.0
מרחביה קיבוץ,צפון,66,12,0,0,19,19,0.07,100.0
שגב,צפון,917,13,0,0,17,17,0.07,100.0
אביגדור,דרום,819,12,0,0,18,18,0.07,63.41
אשחר,צפון,1188,7,0,1,17,19,0.07,100.0
הושעיה,צפון,1186,8,0,0,17,17,0.07,100.0
גן נר,צפון,1274,13,0,0,17,17,0.07,100.0
גליל ים,תל אביב,346,13,0,0,17,17,0.07,65.34
בני ציון,מרכז,418,13,0,0,15,15,0.06,99.75
גבים,דרום,424,12,0,0,16,16,0.06,63.41
לוטם,צפון,1171,9,0,0,16,16,0.06,100.0
כפר עזה,דרום,845,10,0,0,16,16,0.06,63.41
ניר דוד,צפון,256,9,0,0,15,15,0.06,100.0
מצפה אילן,חיפה,1370,6,1,0,13,16,0.06,58.44
אלי על,צפון,4002,6,0,4,8,16,0.06,100.0
בורגתא,מרכז,698,11,0,0,15,15,0.06,99.75
כפר-הס,מרכז,187,10,0,2,11,15,0.06,99.75
שמשית,צפון,1337,12,0,0,16,16,0.06,100.0
שומרה,צפון,614,11,0,1,14,16,0.06,100.0
כפר ברוך,צפון,132,10,0,1,14,16,0.06,100.0
כפר יהושע,צפון,140,11,1,1,10,15,0.06,100.0
זיקים,דרום,584,11,0,0,16,16,0.06,63.41
כפר מלל,מרכז,98,12,0,1,14,16,0.06,99.75
אשבול,דרום,71,8,0,0,16,16,0.06,63.41
מנחמיה,צפון,48,9,0,1,13,15,0.06,100.0
ללא שיפוט - אזור כביש 6535,חיפה,9955,7,0,1,13,15,0.06,58.44
פרזון,צפון,2053,10,0,0,16,16,0.06,100.0
רביד,צפון,1225,10,0,2,12,16,0.06,100.0
שרונה,צפון,292,13,0,0,16,16,0.06,100.0
מצפה אביב,צפון,1222,10,0,0,15,15,0.06,100.0
ביריה,צפון,368,11,0,0,15,15,0.06,100.0
מכמורת,מרכז,382,13,0,1,14,16,0.06,99.75
פארן,דרום,1151,8,0,0,15,15,0.06,63.41
גבעתי,דרום,793,12,0,1,13,15,0.06,63.41
שניר,צפון,1132,7,0,2,10,14,0.05,100.0
מדרשת בן גוריון,דרום,1140,7,1,0,10,13,0.05,63.41
גיאה,דרום,706,6,1,2,7,14,0.05,63.41
סעוה,דרום,1360,7,0,2,10,14,0.05,63.41
רומאנה,צפון,539,9,0,0,13,13,0.05,100.0
שפיר,דרום,692,7,0,0,12,12,0.05,63.41
טיבה,צפון,497,8,2,2,4,14,0.05,100.0
מגן,דרום,695,8,0,1,10,12,0.05,63.41
בארותיים,מרכז,697,11,0,0,12,12,0.05,99.75
מעגלים,דרום,1082,10,0,1,10,12,0.05,63.41
רמת דוד,צפון,135,8,0,0,12,12,0.05,100.0
גבת,צפון,133,10,0,1,12,14,0.05,100.0
קדרון,מרכז,615,11,0,0,12,12,0.05,99.75
ללא שיפוט - אזור מדרום למחלף חורשים,מרכז,9962,5,0,1,10,12,0.05,99.75
שחר,דרום,7,8,0,3,6,12,0.05,63.41
אום אל קטף,חיפה,2024,11,0,0,12,12,0.05,58.44
תפרח,דרום,709,9,0,1,10,12,0.05,63.41
פדויים,דרום,750,6,0,1,11,13,0.05,63.41
אחוזת ברק,צפון,1330,10,0,1,10,12,0.05,100.0
טל שחר,ירושלים,462,8,0,1,11,13,0.05,35.33
נאות מרדכי,צפון,408,8,0,1,10,12,0.05,100.0
יציץ,מרכז,759,10,0,1,11,13,0.05,99.75
דלתון,צפון,431,9,0,1,10,12,0.05,100.0
חרב לאת,מרכז,422,10,0,0,14,14,0.05,99.75
פורת,מרכז,767,11,0,0,13,13,0.05,99.75
כרמיה,דרום,768,9,0,0,14,14,0.05,63.41
חספין,צפון,4005,7,0,1,10,12,0.05,100.0
עין עירון,חיפה,223,9,0,1,10,12,0.05,58.44
כישור,צפון,1153,9,0,1,11,13,0.05,100.0
כפר חיטים,צפון,255,9,0,0,14,14,0.05,100.0
בית יוסף,צפון,265,9,0,2,10,14,0.05,100.0
רשפון,מרכז,247,8,0,0,12,12,0.05,99.75
עברון,צפון,376,10,0,1,10,12,0.05,100.0
מבוא חמה,צפון,4204,10,0,0,14,14,0.05,100.0
חפץ חיים,מרכז,363,11,0,0,12,12,0.05,99.75
כפר זיתים,צפון,786,7,0,0,13,13,0.05,100.0
חניאל,מרכז,807,9,0,0,12,12,0.05,99.75
עידן,דרום,1175,6,1,1,8,13,0.05,63.41
טל אל,צפון,1181,7,0,0,14,14,0.05,100.0
גת,דרום,340,10,0,0,13,13,0.05,63.41
עין הבשור,דרום,1240,8,0,2,9,13,0.05,63.41
בית הלל,צפון,322,8,0,2,10,14,0.05,100.0
בר גיורא,ירושלים,823,8,0,2,9,13,0.05,35.33
עופר,חיפה,810,12,0,0,12,12,0.05,58.44
מטולה,צפון,43,9,0,1,10,12,0.05,100.0
שדה דוד,דרום,36,9,1,0,10,13,0.05,63.41
מלכיה,צפון,596,5,0,2,8,12,0.05,100.0
נירים,דרום,602,9,0,2,10,14,0.05,63.41
ללא שיפוט - אזור מחלף גילעם,חיפה,9935,12,0,0,14,14,0.05,58.44
זמרת,דרום,1065,11,0,1,11,13,0.05,63.41
אור הנר,דרום,67,6,0,0,12,12,0.05,63.41
עין הוד,חיפה,74,7,0,0,13,13,0.05,58.44
בית חשמונאי,מרכז,1050,10,0,0,11,11,0.04,99.75
סגולה,דרום,2046,8,0,1,9,11,0.04,63.41
חלץ,דרום,820,7,0,0,10,10,0.04,63.41
נופך,מרכז,257,7,1,1,6,11,0.04,99.75
שאר ישוב,צפון,324,4,0,0,11,11,0.04,100.0
מסילות,צפון,298,6,0,0,11,11,0.04,100.0
ספיר,דרום,1176,5,0,0,10,10,0.04,63.41
הגושרים,צפון,356,6,0,1,8,10,0.04,100.0
צביה,צפון,1180,6,0,0,11,11,0.04,100.0
אלון הגליל,צפון,1182,8,0,1,8,10,0.04,100.0
אחיטוב,מרכז,850,8,0,0,10,10,0.04,99.75
שעל,צפון,4009,8,0,0,10,10,0.04,100.0
בת הדר,דרום,1323,11,0,0,11,11,0.04,63.41
מעין ברוך,צפון,416,6,0,0,11,11,0.04,100.0
אל-עריאן,חיפה,1316,6,0,0,11,11,0.04,58.44
נווה זיו,צפון,1314,6,0,2,7,11,0.04,100.0
משגב דב,מרכז,765,10,0,0,11,11,0.04,99.75
ביתן אהרון,מרכז,252,9,0,0,10,10,0.04,99.75
יהל,דרום,1158,3,2,1,2,10,0.04,63.41
עזריאל,מרכז,837,10,0,1,9,11,0.04,99.75
אבטליון,צפון,1275,5,0,0,10,10,0.04,100.0
תרום,ירושלים,778,10,0,0,10,10,0.04,35.33
גני הדר,מרכז,1103,7,0,0,11,11,0.04,99.75
כפר מימון,דרום,1095,6,1,0,7,10,0.04,63.41
עבדון,צפון,892,9,0,0,10,10,0.04,100.0
ישיבת כרם יבנה,מרכז,1094,5,0,3,5,11,0.04,99.75
סולם,צפון,526,8,0,0,11,11,0.04,100.0
