CITY,REGION,CITYCODE,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,SEVERITY_WEIGHTED,CITY_RISK_SCORE,REGION_RISK_SCORE
תל אביב - יפו,תל אביב,5000,21601,106,1193,23328,26032,100.0,65.34
ירושלים,ירושלים,3000,18461,89,1007,22624,24905,95.67,35.33
חיפה,חיפה,4000,11197,48,452,14311,15359,59.0,58.44
יהודה ושומרון,יהודה ושומרון,9999,8434,203,895,12713,15112,58.05,15.96
ראשון לציון,מרכז,8300,8563,49,395,10158,11095,42.62,99.75
באר שבע,דרום,9000,7341,38,284,9794,10476,40.24,63.41
פתח תקווה,מרכז,7900,7279,51,327,8396,9203,35.35,99.75
אשדוד,דרום,70,6846,33,264,8392,9019,34.65,63.41
אשקלון,דרום,7100,6048,18,200,7503,7957,30.57,63.41
נתניה,מרכז,7400,6019,26,245,7194,7762,29.82,99.75
חולון,תל אביב,6600,6193,28,288,6969,7629,29.31,65.34
רמת גן,תל אביב,8600,5095,19,274,5517,6122,23.52,65.34
חדרה,חיפה,6500,3995,23,176,5329,5750,22.09,58.44
סח'נין,צפון,7500,2436,5,24,4846,4909,18.86,100.0
שטח כללי,ירושלים,5526,2605,31,229,3760,4311,16.56,35.33
בני ברק,תל אביב,6100,3645,14,183,3899,4307,16.55,65.34
רמלה,מרכז,8500,3125,9,123,3924,4197,16.12,99.75
רחובות,מרכז,8400,3223,10,132,3881,4175,16.04,99.75
בת ים,תל אביב,6200,3358,18,154,3717,4079,15.67,65.34
נצרת,צפון,7300,2586,14,70,3762,3944,15.15,100.0
עכו,צפון,7600,2502,10,51,3712,3844,14.77,100.0
עפולה,צפון,7700,2538,11,54,3416,3557,13.66,100.0
לוד,מרכז,7000,2558,13,101,3109,3350,12.87,99.75
שטח כללי,צפון,5556,1356,23,70,2706,2915,11.2,100.0
שפרעם,צפון,8800,1731,6,55,2754,2882,11.07,100.0
כרמיאל,צפון,1139,1811,4,51,2741,2855,10.97,100.0
קרית אתא,חיפה,6800,1883,7,72,2638,2803,10.77,58.44
כפר סבא,מרכז,6900,2144,7,101,2577,2800,10.76,99.75
הרצליה,תל אביב,6400,2222,9,99,2485,2710,10.41,65.34
נוף הגליל,צפון,1061,1850,6,50,2459,2577,9.9,100.0
שטח כללי,דרום,5541,1462,28,107,2242,2540,9.76,63.41
מודיעין - מכבים - רעות,מרכז,1200,1902,6,92,2301,2503,9.62,99.75
רמת השרון,תל אביב,2650,1831,11,114,2194,2455,9.43,65.34
טבריה,צפון,6700,1699,6,83,2237,2421,9.3,100.0
שטח כללי,מרכז,5525,1564,19,81,2141,2360,9.07,99.75
טייבה,מרכז,2730,1451,16,65,2044,2222,8.54,99.75
עראבה,צפון,531,1078,4,24,2144,2204,8.47,100.0
טמרה,צפון,8900,1183,5,36,2043,2130,8.18,100.0
ג'דיידה - מכר,צפון,1292,1040,3,20,2024,2073,7.96,100.0
נהריה,צפון,9100,1518,5,41,1932,2029,7.79,100.0
אילת,דרום,2600,1519,7,58,1836,1973,7.58,63.41
ראש העין,מרכז,2640,1476,7,52,1797,1922,7.38,99.75
רעננה,מרכז,8700,1477,14,71,1705,1889,7.26,99.75
קרית מוצקין,חיפה,8200,1318,12,64,1690,1854,7.12,58.44
יבנה,מרכז,2660,1341,6,73,1559,1723,6.62,99.75
קרית גת,דרום,2630,1390,3,36,1635,1716,6.59,63.41
שטח כללי,מרכז,5516,1043,13,53,1544,1689,6.49,99.75
פרדס חנה - כרכור,חיפה,7800,1194,6,41,1583,1683,6.47,58.44
אום אל פחם,חיפה,2710,976,7,44,1535,1644,6.32,58.44
בית שמש,ירושלים,2610,1225,7,99,1421,1640,6.3,35.33
מגאר,צפון,481,891,2,20,1577,1623,6.23,100.0
באקה אל גרבייה (באקה אל ררבי,חיפה,6000,1026,4,44,1503,1603,6.16,58.44
נס ציונה,מרכז,7200,1104,8,46,1371,1487,5.71,99.75
מג'ד אל כרום,צפון,516,725,1,30,1355,1418,5.45,100.0
אור יהודה,תל אביב,2400,1118,4,61,1251,1385,5.32,65.34
הוד השרון,מרכז,9700,1037,8,54,1222,1354,5.2,99.75
ירכא,צפון,502,778,2,23,1259,1311,5.04,100.0
ללא שיפוט - אזור הסייג,דרום,9971,639,28,86,1050,1306,5.02,63.41
דיר חנא,צפון,492,601,1,10,1282,1305,5.01,100.0
ברקאי,חיפה,617,633,7,35,1172,1263,4.85,58.44
נתיבות,דרום,246,971,6,28,1176,1250,4.8,63.41
שטח כללי,דרום,5548,787,16,57,1072,1234,4.74,63.41
קרית ביאליק,חיפה,9500,886,4,26,1167,1231,4.73,58.44
גבעתיים,תל אביב,6300,1076,2,43,1128,1220,4.69,65.34
קרית ים,חיפה,9600,786,6,45,1039,1147,4.41,58.44
ללא שיפוט - אזור מקווה ישראל - פארק שרון,תל אביב,9970,835,7,54,1012,1141,4.38,65.34
נשר,חיפה,2500,782,3,31,1054,1125,4.32,58.44
צפת,צפון,8000,783,5,38,1005,1096,4.21,100.0
רהט,דרום,1161,759,17,67,899,1084,4.16,63.41
כפר קאסם,מרכז,634,778,6,29,994,1070,4.11,99.75
מעברות,מרכז,197,847,0,3,1024,1030,3.96,99.75
שטח כללי,חיפה,5512,536,10,31,937,1029,3.95,58.44
קלנסווה,מרכז,638,713,5,33,943,1024,3.93,99.75
שטח כללי,Unknown,5519,655,11,57,848,995,3.82,0.0
כפר יאסיף,צפון,507,573,1,12,957,984,3.78,100.0
כפר קרע,חיפה,654,598,5,29,903,976,3.75,58.44
קרית אונו,תל אביב,2620,820,2,34,892,966,3.71,65.34
נחף,צפון,522,489,5,27,878,947,3.64,100.0
כפר כנא,צפון,509,628,1,17,911,948,3.64,100.0
טירת כרמל,חיפה,2100,685,2,26,872,930,3.57,58.44
באר יעקב,מרכז,2530,727,3,22,866,919,3.53,99.75
שדרות,דרום,1031,681,2,31,830,898,3.45,63.41
מבשרת ציון,ירושלים,1015,618,3,25,825,884,3.4,35.33
ללא שיפוט - אזור יער מנשה,חיפה,9944,417,6,27,808,880,3.38,58.44
טירה,מרכז,2720,625,4,29,811,881,3.38,99.75
שטח כללי,מרכז,5520,550,9,28,789,872,3.35,99.75
גן יבנה,מרכז,166,632,1,26,799,854,3.28,99.75
שטח כללי,צפון,5509,511,4,33,771,849,3.26,100.0
דימונה,דרום,2200,623,6,31,762,842,3.23,63.41
גבעת השלושה,מרכז,870,572,2,33,767,839,3.22,99.75
מגדל העמק,צפון,874,561,6,24,750,816,3.13,100.0
גדרה,מרכז,2550,600,3,32,738,811,3.12,99.75
ראמה,צפון,543,409,4,9,750,780,3.0,100.0
ג'ת,חיפה,628,440,7,15,728,779,2.99,58.44
שטח כללי (סדום),דרום,5551,396,18,55,612,776,2.98,63.41
אעבלין,צפון,529,408,3,15,735,774,2.97,100.0
ריינה,צפון,542,483,2,15,710,746,2.87,100.0
יהוד-מונוסון,מרכז,9400,597,6,37,652,744,2.86,99.75
מעלות - תרשיחא,צפון,1063,469,3,21,684,735,2.82,100.0
שטח כללי,צפון,5513,336,5,30,616,691,2.65,100.0
כפר מנדא,צפון,510,385,1,17,647,684,2.63,100.0
יגור,חיפה,96,371,4,28,609,677,2.6,58.44
בנימינה - גבעת עדה,חיפה,9800,430,4,21,607,661,2.54,58.44
שטח כללי,דרום,5533,377,9,26,581,660,2.54,63.41
יקנעם עילית,צפון,240,456,3,20,605,654,2.51,100.0
ערד,דרום,2560,393,6,48,533,647,2.49,63.41
אופקים,דרום,31,487,1,19,607,648,2.49,63.41
קרית עקרון,מרכז,469,439,6,23,581,645,2.48,99.75
גבעת שמואל,מרכז,681,515,4,25,581,643,2.47,99.75
מענית,חיפה,344,333,6,21,543,603,2.32,58.44
שטח כללי,צפון,5503,312,2,19,554,598,2.3,100.0
כאבול,צפון,504,319,2,6,576,594,2.28,100.0
קרית מלאכי,דרום,1034,492,1,11,566,591,2.27,63.41
זכרון יעקב,חיפה,9300,389,5,11,549,586,2.25,58.44
הסוללים,צפון,677,316,8,23,517,587,2.25,100.0
חריש,חיפה,1247,432,0,19,545,583,2.24,58.44
קרית שמונה,צפון,2800,377,3,19,532,579,2.22,100.0
עומר,דרום,666,337,4,12,541,577,2.22,63.41
דיר אל אסד,צפון,490,315,1,9,553,574,2.2,100.0
אבו סנאן,צפון,473,302,4,10,538,570,2.19,100.0
ציפורי,צפון,613,327,3,17,514,557,2.14,100.0
שטח כללי,דרום,5535,322,12,28,466,558,2.14,63.41
שדה עוזיהו,דרום,739,405,1,11,533,558,2.14,63.41
אור עקיבא,חיפה,1020,417,3,15,515,554,2.13,58.44
ללא שיפוט - אזור הר הכרמל,חיפה,9936,301,5,25,486,551,2.12,58.44
שטח כללי,דרום,5536,293,8,26,466,542,2.08,63.41
אלעד,מרכז,1309,409,0,18,493,529,2.03,99.75
עוספייא,חיפה,534,323,2,28,459,521,2.0,58.44
שטח כללי,צפון,5504,234,6,11,478,518,1.99,100.0
ראש פינה,צפון,26,302,0,13,489,515,1.98,100.0
שעב,צפון,538,246,1,5,485,498,1.91,100.0
נחשונים,מרכז,705,343,1,17,459,496,1.91,99.75
אחיהוד,צפון,785,269,1,11,465,490,1.88,100.0
אייל,מרכז,716,297,6,18,434,488,1.87,99.75
יפיע,צפון,499,304,2,8,460,482,1.85,100.0
שטח כללי,מרכז,5540,313,6,27,410,482,1.85,99.75
כפר יונה,מרכז,168,331,6,19,421,477,1.83,99.75
ללא שיפוט - אזור נתבג,מרכז,9964,383,1,13,446,475,1.82,99.75
שטח כללי,דרום,5550,271,8,11,420,466,1.79,63.41
עילבון,צפון,530,258,0,5,452,462,1.77,100.0
בית גמליאל,מרכז,571,309,4,17,412,458,1.76,99.75
דאלית אל כרמל,חיפה,494,326,1,15,426,459,1.76,58.44
בן שמן (כפר נוער),מרכז,1084,281,0,8,433,449,1.72,99.75
אזור,תל אביב,565,330,7,23,377,444,1.71,65.34
כברי,צפון,576,245,3,12,405,438,1.68,100.0
שטח כללי,דרום,5553,217,5,14,394,437,1.68,63.41
יסעור,צפון,575,211,0,7,423,437,1.68,100.0
ללא שיפוט - אזור מאגרי מנשה,חיפה,9945,274,2,14,398,432,1.66,58.44
שטח כללי,מרכז,5530,226,8,18,366,426,1.64,99.75
קדימה - צורן,מרכז,195,334,0,8,397,413,1.59,99.75
שטח כללי,דרום,5539,238,2,18,373,415,1.59,63.41
בית שאן,צפון,9200,302,1,15,378,411,1.58,100.0
שטח כללי,דרום,5534,239,1,14,375,406,1.56,63.41
ערערה,חיפה,637,279,1,24,351,402,1.54,58.44
כסרא - סמיע,צפון,1296,197,5,8,368,399,1.53,100.0
פוריידיס,חיפה,537,234,1,10,369,392,1.51,58.44
אליקים,צפון,682,221,2,9,365,389,1.49,100.0
בית ג'ן,צפון,480,223,0,12,361,385,1.48,100.0
בענה,צפון,483,205,2,9,358,382,1.47,100.0
ישרש,מרכז,828,231,2,10,349,375,1.44,99.75
כפר מסריק,צפון,297,233,2,7,349,369,1.42,100.0
אלונים,צפון,285,183,1,18,325,364,1.4,100.0
שטח כללי,דרום,5542,190,4,24,298,358,1.38,63.41
לכיש,דרום,24,198,3,18,312,357,1.37,63.41
מגידו,צפון,586,221,0,4,348,356,1.37,100.0
כפר תבור,צפון,47,190,2,12,323,353,1.36,100.0
שטח כללי,צפון,5507,169,10,15,291,351,1.35,100.0
תל עדשים,צפון,103,196,1,10,326,349,1.34,100.0
כפר חסידים א',חיפה,112,180,2,20,298,344,1.32,58.44
חצור הגלילית,צפון,2034,216,2,11,308,336,1.29,100.0
ניר עם,דרום,348,210,2,10,310,336,1.29,63.41
רמת ישי,צפון,122,244,0,7,321,335,1.29,100.0
עתלית,חיפה,53,192,6,7,301,333,1.28,58.44
ניצנים,דרום,359,230,1,9,309,330,1.27,63.41
יד רמבם,מרכז,64,251,0,10,311,331,1.27,99.75
סלמה,צפון,1245,176,1,6,315,330,1.27,100.0
אבן יהודה,מרכז,182,246,2,9,303,327,1.26,99.75
זרזיר,צפון,975,209,1,5,313,326,1.25,100.0
אכסאל,צפון,478,227,0,9,306,324,1.24,100.0
שטח כללי,מרכז,5518,179,3,21,273,324,1.24,99.75
עינת,מרכז,871,183,1,19,277,318,1.22,99.75
בני דרום,מרכז,592,207,3,10,285,314,1.21,99.75
מג'דל שמס,צפון,4201,178,1,7,290,307,1.18,100.0
קרית טבעון,חיפה,2300,227,2,7,286,306,1.18,58.44
מעלה עירון,חיפה,1327,165,1,12,277,304,1.17,58.44
כפר בילו,מרכז,177,213,1,12,276,303,1.16,99.75
ארבל,צפון,701,183,1,4,292,303,1.16,100.0
יקנעם (מושבה),צפון,241,189,0,3,297,303,1.16,100.0
שטח כללי,חיפה,5514,133,3,16,250,291,1.12,58.44
תל מונד,מרכז,154,222,0,9,271,289,1.11,99.75
פקיעין (בוקייעה),צפון,536,167,1,5,277,290,1.11,100.0
טורעאן,צפון,498,174,3,12,250,283,1.09,100.0
שטח כללי,מרכז,5531,168,4,23,224,282,1.08,99.75
משהד,צפון,520,176,0,3,276,282,1.08,100.0
בית חנניה,חיפה,800,121,1,16,244,279,1.07,58.44
שהם,מרכז,1304,242,0,7,264,278,1.07,99.75
עמקה,צפון,708,116,1,7,257,274,1.05,100.0
זמר,מרכז,1290,166,4,8,246,274,1.05,99.75
כפר שמריהו,תל אביב,267,181,2,15,237,273,1.05,65.34
רמות מנשה,צפון,445,149,2,1,264,272,1.04,100.0
שטח כללי,צפון,5506,135,3,12,238,271,1.04,100.0
ללא שיפוט - אזור הר מירון,צפון,9903,110,6,7,236,268,1.03,100.0
בסמה,חיפה,1326,171,0,9,247,265,1.02,58.44
רגבה,צפון,390,157,1,3,254,263,1.01,100.0
ללא שיפוט - אזור צומת חנניה,צפון,9914,111,2,3,250,262,1.01,100.0
אילניה,צפון,49,123,3,7,239,262,1.01,100.0
יאנוח - ג'ת,צפון,1295,160,0,8,246,262,1.01,100.0
משמר השבעה,מרכז,729,196,3,12,221,254,0.98,99.75
נהלל,צפון,80,142,1,13,225,254,0.98,100.0
שטח כללי,צפון,5502,131,1,13,219,248,0.95,100.0
שדה יעקב,צפון,142,127,5,12,200,239,0.92,100.0
דבוריה,צפון,489,153,3,5,220,239,0.92,100.0
עין המפרץ,צפון,289,137,2,1,224,232,0.89,100.0
יד מרדכי,דרום,358,104,1,6,213,228,0.88,63.41
גן שמואל,חיפה,72,151,0,6,214,226,0.87,58.44
ירחיב,מרכז,718,120,1,5,211,224,0.86,99.75
שטח כללי,דרום,5554,87,10,15,163,223,0.86,63.41
נתיב השיירה,צפון,792,99,1,4,209,220,0.85,100.0
בוסתן הגליל,צפון,559,123,0,3,211,217,0.83,100.0
רגבים,חיפה,444,106,3,6,194,215,0.83,58.44
שטח כללי,דרום,5538,107,5,23,152,213,0.82,63.41
ערערה בנגב,דרום,1192,125,2,20,167,213,0.82,63.41
מגדל,צפון,65,120,0,11,191,213,0.82,100.0
ג'וליס,צפון,485,137,1,4,200,211,0.81,100.0
מזכרת בתיה,מרכז,28,147,3,11,177,208,0.8,99.75
ירוחם,דרום,831,121,4,18,159,207,0.8,63.41
גני תקווה,מרכז,229,179,1,10,185,208,0.8,99.75
מיתר,דרום,1268,134,1,9,184,205,0.79,63.41
שדה יואב,דרום,293,111,0,11,184,206,0.79,63.41
חורפיש,צפון,496,139,0,3,199,205,0.79,100.0
גבעת נילי,חיפה,360,108,0,7,188,202,0.78,58.44
חגור,מרכז,717,130,0,4,195,203,0.78,99.75
שטח כללי,צפון,5501,106,2,6,182,200,0.77,100.0
עין דור,צפון,436,98,1,9,180,201,0.77,100.0
פרוד,צפון,599,92,2,14,167,201,0.77,100.0
חורה,דרום,1303,124,8,17,140,198,0.76,63.41
מעלה גמלא,צפון,4008,95,4,8,170,198,0.76,100.0
ניר צבי,מרכז,331,134,1,9,174,195,0.75,99.75
כפר הנגיד,מרכז,582,141,0,2,191,195,0.75,99.75
שטח כללי,חיפה,5515,103,2,9,169,193,0.74,58.44
כפר שמואל,מרכז,743,125,1,12,166,193,0.74,99.75
שבי ציון,צפון,282,106,1,0,187,190,0.73,100.0
ללא שיפוט - אזור מדרום לג'דיידה-מכר,צפון,9917,97,0,2,185,189,0.73,100.0
מבקיעים,דרום,573,102,0,7,174,188,0.72,63.41
ערוגות,דרום,593,133,0,3,180,186,0.71,63.41
ג'לג'וליה,מרכז,627,124,0,3,180,186,0.71,99.75
אפק,צפון,313,101,1,3,176,185,0.71,100.0
יבנאל,צפון,46,124,2,8,162,184,0.71,100.0
בית חנן,מרכז,159,102,3,9,157,184,0.71,99.75
כפר דניאל,מרכז,707,77,2,12,153,183,0.7,99.75
שדה משה,דרום,18,99,1,7,164,181,0.7,63.41
יגל,מרכז,798,118,0,9,163,181,0.7,99.75
חדיד,מרכז,618,112,0,14,155,183,0.7,99.75
נען,מרכז,158,115,1,7,165,182,0.7,99.75
כפר ביאליק,חיפה,220,118,4,2,166,182,0.7,58.44
אבו גוש,ירושלים,472,135,0,6,162,174,0.67,35.33
עמיעד,צפון,385,99,2,2,163,173,0.66,100.0
ג'סר אל-זרקא,חיפה,541,128,1,12,146,173,0.66,58.44
שטח כללי,צפון,5571,90,0,10,148,168,0.65,100.0
לפידות,צפון,1173,103,1,4,159,170,0.65,100.0
סביון,מרכז,587,140,2,6,150,168,0.65,99.75
בועיינה - נוג'ידאת,צפון,482,115,1,3,156,165,0.63,100.0
עין שמר,חיפה,139,97,2,4,147,161,0.62,58.44
מצפה רמון,דרום,99,82,3,11,131,162,0.62,63.41
גאליה,מרכז,853,110,2,5,145,161,0.62,99.75
גינתון,מרכז,863,91,0,7,145,159,0.61,99.75
מעין צבי,חיפה,290,93,1,4,147,158,0.61,58.44
שזור,צפון,527,78,0,4,152,160,0.61,100.0
מעש,מרכז,230,118,0,3,150,156,0.6,99.75
בית השיטה,צפון,242,107,1,2,149,156,0.6,100.0
מזרעה,צפון,517,107,0,0,156,156,0.6,100.0
גמזו,מרכז,745,84,2,7,135,155,0.6,99.75
מעיליא,צפון,518,105,0,4,149,157,0.6,100.0
קיסריה,חיפה,1167,119,1,5,144,157,0.6,58.44
אביטל,צפון,2052,84,0,8,138,154,0.59,100.0
ניר אליהו,מרכז,808,82,4,15,111,153,0.59,99.75
תל שבע,דרום,1054,109,4,14,110,150,0.58,63.41
בת שלמה,חיפה,33,83,0,4,140,148,0.57,58.44
מסעדה,צפון,4203,84,1,4,137,148,0.57,100.0
ביר אל מכסור,צפון,998,94,1,11,120,145,0.56,100.0
קבוצת יבנה,מרכז,334,88,2,7,127,147,0.56,99.75
מירון,צפון,607,100,1,4,136,147,0.56,100.0
שטח כללי,דרום,5537,66,4,11,110,144,0.55,63.41
בית דגן,מרכז,466,111,0,6,131,143,0.55,99.75
בית עזרא,דרום,756,108,0,5,133,143,0.55,63.41
כפר חבד,מרכז,696,108,0,5,134,144,0.55,99.75
עילוט,צפון,511,102,0,4,136,144,0.55,100.0
נצני עוז,מרכז,851,98,0,2,140,144,0.55,99.75
נווה ימין,מרכז,686,88,2,0,134,140,0.54,99.75
רכסים,חיפה,922,87,4,6,117,141,0.54,58.44
גבעת עז,צפון,703,90,4,1,124,138,0.53,100.0
שלומי,צפון,812,79,3,3,123,138,0.53,100.0
שגב שלום,דרום,1286,95,2,15,100,136,0.52,63.41
כפר גלעדי,צפון,76,57,1,10,110,133,0.51,100.0
מאור,חיפה,2055,64,0,6,118,130,0.5,58.44
כאוכב אבו אל היג'א,צפון,505,70,0,1,127,129,0.5,100.0
כוכב יאיר,מרכז,1224,92,0,4,120,128,0.49,99.75
פלמחים,מרכז,597,79,1,10,103,126,0.48,99.75
ניר עציון,חיפה,769,74,2,4,112,126,0.48,58.44
נתיב העשרה,דרום,1242,93,1,1,119,124,0.48,63.41
שריד,צפון,126,89,1,2,117,124,0.48,100.0
משמר דוד,מרכז,563,69,1,5,111,124,0.48,99.75
גן שלמה,מרכז,144,76,2,8,101,123,0.47,99.75
מעגן,צפון,678,46,1,9,98,119,0.46,100.0
נין,צפון,523,68,1,4,109,120,0.46,100.0
מעגן מיכאל,חיפה,694,53,2,5,104,120,0.46,58.44
כפר טרומן,מרכז,673,84,1,5,108,121,0.46,99.75
בית אלעזרי,מרכז,562,83,3,6,99,120,0.46,99.75
ברקת,מרכז,2038,73,1,8,97,116,0.45,99.75
מעונה,צפון,570,65,0,4,108,116,0.45,100.0
עין מאהל,צפון,532,87,1,4,107,118,0.45,100.0
כפר חנניה,צפון,1297,63,1,1,113,118,0.45,100.0
ידידיה,מרכז,233,72,0,4,107,115,0.44,99.75
אליפלט,צפון,730,64,0,5,104,114,0.44,100.0
מגשימים,מרכז,722,76,1,3,106,115,0.44,99.75
אחיסמך,מרכז,804,73,1,2,107,114,0.44,99.75
ברכיה,דרום,746,57,0,11,90,112,0.43,63.41
מצליח,מרכז,757,65,3,7,90,113,0.43,99.75
מרום גולן,צפון,4101,47,2,4,99,113,0.43,100.0
יחיעם,צפון,409,71,1,2,106,113,0.43,100.0
חד נס,צפון,4026,58,0,5,102,112,0.43,100.0
בית הגדי,דרום,723,72,1,1,105,110,0.42,63.41
בן זכאי,מרכז,760,66,2,6,92,110,0.42,99.75
כעביה - טבאש - חג'אג'רה,צפון,978,56,0,7,95,109,0.42,100.0
גוש חלב (ג'יש),צפון,487,69,0,4,102,110,0.42,100.0
גן שורק,מרכז,311,81,1,6,95,110,0.42,99.75
משמר השרון,מרכז,194,76,0,2,106,110,0.42,99.75
בוקעאתא,צפון,4001,69,0,2,105,109,0.42,100.0
קצרין,צפון,4100,82,0,6,98,110,0.42,100.0
בארי,דרום,399,82,0,5,100,110,0.42,63.41
סאג'ור,צפון,525,57,3,2,94,107,0.41,100.0
הודיה,דרום,726,54,1,8,89,108,0.41,63.41
אורים,דרום,403,40,4,8,79,107,0.41,63.41
תדהר,דרום,2061,51,1,6,91,106,0.41,63.41
סתריה,מרכז,610,69,0,4,99,107,0.41,99.75
עין גב,צפון,273,63,1,7,89,106,0.41,100.0
מגדל תפן,צפון,1722,60,0,1,106,108,0.41,100.0
מצר,חיפה,648,57,1,5,95,108,0.41,58.44
בחן,מרכז,2043,46,2,8,81,103,0.4,99.75
חורשים,מרכז,355,66,0,6,92,104,0.4,99.75
לקיה,דרום,1060,75,1,8,85,104,0.4,63.41
צוריאל,צפון,774,50,1,2,98,105,0.4,100.0
כפר מנחם,דרום,274,45,4,8,77,105,0.4,63.41
דגניה ב',צפון,79,58,0,2,100,104,0.4,100.0
כסייפה,דרום,1059,75,1,9,84,105,0.4,63.41
לוחמי הגיטאות,צפון,595,65,0,0,103,103,0.4,100.0
גיניגר,צפון,92,49,1,3,93,102,0.39,100.0
ארז,דרום,714,47,1,3,92,101,0.39,63.41
גבעת ברנר,מרכז,147,79,0,4,94,102,0.39,99.75
יודפת,צפון,1112,48,0,0,101,101,0.39,100.0
גת רימון,מרכז,128,68,2,4,85,99,0.38,99.75
כפר ויתקין,מרכז,190,72,0,1,97,99,0.38,99.75
לביא,צפון,585,60,1,3,90,99,0.38,100.0
בני עיש,מרכז,1066,69,1,4,87,98,0.38,99.75
בית גוברין,דרום,619,67,2,8,78,100,0.38,63.41
כפר ורדים,צפון,1263,73,1,5,85,98,0.38,100.0
תימורים,דרום,163,67,1,1,94,99,0.38,63.41
נרדיה,מרכז,447,66,1,1,95,100,0.38,99.75
זבדיאל,דרום,815,53,0,4,88,96,0.37,63.41
פסוטה,צפון,535,57,0,4,89,97,0.37,100.0
שער אפרים,מרכז,661,62,0,3,90,96,0.37,99.75
חוסן,צפון,662,49,0,1,94,96,0.37,100.0
צופית,מרכז,198,58,1,4,83,94,0.36,99.75
באר טוביה,דרום,155,64,4,2,77,93,0.36,63.41
בית אורן,חיפה,317,69,1,6,80,95,0.36,58.44
ברוש,דרום,2060,37,1,5,78,91,0.35,63.41
איבטין,חיפה,652,56,0,1,89,91,0.35,58.44
מדרך עז,צפון,2029,69,0,0,92,92,0.35,100.0
חוסניה,צפון,1332,44,0,1,88,90,0.35,100.0
נאעורה,צפון,524,56,0,1,90,92,0.35,100.0
פרדסיה,מרכז,171,70,0,2,88,92,0.35,99.75
קדמת צבי,צפון,4025,46,2,11,63,91,0.35,100.0
מי עמי,חיפה,1128,48,0,0,89,89,0.34,58.44
כליל,צפון,1183,48,2,7,68,88,0.34,100.0
קציר,חיפה,1243,51,1,2,81,88,0.34,58.44
כנרת מושבה,צפון,63,37,1,6,74,89,0.34,100.0
רבדים,דרום,564,53,1,6,71,86,0.33,63.41
קלע,צפון,4024,46,1,4,75,86,0.33,100.0
אניעם,צפון,4012,38,1,6,71,86,0.33,100.0
מבוא מודיעים,מרכז,1141,68,0,4,76,84,0.32,99.75
עיינות,מרכז,156,59,0,6,72,84,0.32,99.75
נבטים,דרום,396,45,2,5,66,82,0.31,63.41
משאבי שדה,דרום,421,42,1,4,70,81,0.31,63.41
זיתן,מרכז,788,64,0,2,78,82,0.31,99.75
יובלים,צפון,1226,41,0,0,81,81,0.31,100.0
כפר שמאי,צפון,605,45,0,6,70,82,0.31,100.0
שטח כללי,צפון,5555,41,0,2,76,80,0.31,100.0
שמיר,צפון,366,33,0,6,67,79,0.3,100.0
פתחיה,מרכז,839,52,2,3,66,78,0.3,99.75
ללא שיפוט - אזור מושיריפה,חיפה,9942,42,2,0,72,78,0.3,58.44
בית נחמיה,מרכז,784,54,1,5,65,78,0.3,99.75
אלקוש,צפון,603,44,1,0,75,78,0.3,100.0
בן שמן,מרכז,2013,54,1,4,66,77,0.3,99.75
ינון,דרום,2011,50,0,4,70,78,0.3,63.41
ניר יפה,צפון,165,32,3,6,57,78,0.3,100.0
אחיעזר,מרכז,797,49,1,3,68,77,0.3,99.75
אל רום,צפון,4003,36,2,9,55,79,0.3,100.0
נצר סירני,מרכז,435,52,0,7,61,75,0.29,99.75
כפר ברא,מרכז,633,51,0,6,64,76,0.29,99.75
שדה בוקר,דרום,885,31,0,5,65,75,0.29,63.41
עין העמק,צפון,367,44,0,2,71,75,0.29,100.0
אום בטין,דרום,1358,41,2,3,63,75,0.29,63.41
גני יוחנן,מרכז,862,58,0,0,75,75,0.29,99.75
משמר העמק,צפון,130,39,0,0,73,73,0.28,100.0
שבלי - אום אל רנם,צפון,913,50,1,3,64,73,0.28,100.0
נועם,דרום,15,41,5,1,56,73,0.28,63.41
יערה,צפון,795,30,1,9,52,73,0.28,100.0
בית-קמה,דרום,598,41,1,5,60,73,0.28,63.41
הזורע,צפון,250,41,0,4,66,74,0.28,100.0
כפר סירקין,מרכז,249,43,1,5,60,73,0.28,99.75
בית העמק,צפון,572,36,1,3,65,74,0.28,100.0
טובא - זנגרייה,צפון,962,51,1,4,63,74,0.28,100.0
נחשולים,חיפה,433,36,3,6,53,74,0.28,58.44
שטח כללי,צפון,5508,39,1,3,64,73,0.28,100.0
מצפה נטופה,צפון,1190,28,0,3,65,71,0.27,100.0
כלנית,צפון,1229,29,0,4,63,71,0.27,100.0
מגל,חיפה,375,46,1,4,59,70,0.27,58.44
גבעת יואב,צפון,4021,38,2,8,47,69,0.27,100.0
טפחות,צפון,1214,34,3,4,54,71,0.27,100.0
עין זיון,צפון,4503,26,1,4,60,71,0.27,100.0
מזרע,צפון,104,39,1,1,66,71,0.27,100.0
מסד,צפון,1258,34,0,7,57,71,0.27,100.0
טירת יהודה,מרכז,663,54,0,1,69,71,0.27,99.75
משואות יצחק,דרום,620,42,1,5,54,67,0.26,63.41
להבות חביבה,חיפה,715,43,0,5,57,67,0.26,58.44
אושה,חיפה,278,36,0,8,51,67,0.26,58.44
נוה ירק,מרכז,858,36,1,4,57,68,0.26,99.75
עין חרוד מאוחד,צפון,82,36,0,1,66,68,0.26,100.0
ברור חיל,דרום,428,41,1,3,58,67,0.26,63.41
